Generation,BestFit,AvgFit,WorstFit
G88,0.14152234824124107,0.019719680756376517,0.00031796836904549107
G89,0.14152234824124107,0.021721051768584094,0.00048318135702285925
G90,0.14152234824124107,0.020842163496262982,0.00031796836904549107
G91,0.14152234824124107,0.022089475596132533,0.00048318135702285925
G92,0.14152234824124107,0.02180580228216519,0.00048318135702285925
G93,0.14152234824124107,0.021117086014612808,0.00048318135702285925
G94,0.14152234824124107,0.02237861025919423,0.00048318135702285925
G95,0.14152234824124107,0.02234069783666599,0.00048318135702285925
G96,0.14152234824124107,0.022826451361642873,0.00048318135702285925
G97,0.14152234824124107,0.020547842739004864,0.00031796836904549107
G98,0.14152234824124107,0.02334081908308045,4.09297286671355e-05
G99,0.14152234824124107,0.020963800257521772,0.00031796836904549107
T,0.06876466356517148
